Date,BND,BTC-USD,ETH-USD,GLD,GOOGL,IEF,MSFT,TLT,VOO,^GSPC
2023-10-13,63.249881744384766,26862.375,1552.0894775390625,178.8300018310547,136.23403930664062,83.28978729248047,321.5274658203125,78.89885711669922,383.7204895019531,4327.77978515625
2023-10-14,63.249881744384766,26861.70703125,1555.2568359375,178.8300018310547,136.23403930664062,83.28978729248047,321.5274658203125,78.89885711669922,383.7204895019531,4327.77978515625
2023-10-15,63.249881744384766,27159.65234375,1558.06982421875,178.8300018310547,136.23403930664062,83.28978729248047,321.5274658203125,78.89885711669922,383.7204895019531,4327.77978515625
2023-10-16,62.922035217285156,28519.466796875,1600.5343017578125,177.9600067138672,137.95977783203125,82.79682159423828,326.34454345703125,77.62903594970703,387.7375793457031,4373.6298828125
2023-10-17,62.51219177246094,28415.748046875,1565.4395751953125,178.2899932861328,138.57469177246094,81.98436737060547,325.77545166015625,76.77349853515625,387.7471923828125,4373.2001953125
2023-10-18,62.238983154296875,28328.341796875,1563.7498779296875,180.8699951171875,136.82911682128906,81.60098266601562,323.8623962402344,76.09808349609375,382.5589904785156,4314.60009765625
2023-10-19,61.96574020385742,28719.806640625,1567.45703125,183.08999633789062,136.6208038330078,81.19929504394531,325.0494689941406,74.54009246826172,379.3162841796875,4278.0
2023-10-20,62.19345474243164,29682.94921875,1604.6668701171875,183.58999633789062,134.4884796142578,81.67398071289062,320.4875183105469,74.9633560180664,374.5926818847656,4224.16015625
2023-10-21,62.19345474243164,29918.412109375,1629.304443359375,183.58999633789062,134.4884796142578,81.67398071289062,320.4875183105469,74.9633560180664,374.5926818847656,4224.16015625
2023-10-22,62.19345474243164,29993.896484375,1663.429931640625,183.58999633789062,134.4884796142578,81.67398071289062,320.4875183105469,74.9633560180664,374.5926818847656,4224.16015625
2023-10-23,62.430213928222656,33086.234375,1765.3826904296875,182.97000122070312,135.38108825683594,82.0573959350586,323.08734130859375,75.86392974853516,373.93438720703125,4217.0400390625
2023-10-24,62.63970184326172,33901.52734375,1784.4375,182.9499969482422,137.67213439941406,82.20345306396484,324.2744140625,76.86357116699219,376.7318420410156,4247.68017578125
2023-10-25,62.166114807128906,34502.8203125,1787.3975830078125,183.72000122070312,124.5803451538086,81.4822998046875,334.2225341796875,75.15248107910156,371.4176330566406,4186.77001953125
2023-10-26,62.58506774902344,34156.6484375,1804.039306640625,184.00999450683594,121.27763366699219,82.10305786132812,321.6844482421875,76.30521392822266,366.85858154296875,4137.22998046875
2023-10-27,62.58506774902344,33909.80078125,1780.0452880859375,186.14999389648438,121.16854095458984,82.2308349609375,323.56805419921875,75.98101043701172,365.2323913574219,4117.3701171875
